row,col,EVI_1,EVI_2,EVI_3,EVI_4,EVI_5,EVI_6,EVI_7,EVI_8,EVI_9,EVI_10,EVI_11,EVI_12,EVI_13,EVI_14,EVI_15,EVI_16,EVI_17,EVI_18,EVI_19,EVI_20,EVI_21,EVI_22,EVI_23,EVI_24,EVI_25,EVI_26,EVI_27,EVI_28,EVI_29,EVI_30,EVI_31,EVI_32,EVI_33,EVI_34,EVI_35,EVI_36,EVI_37,EVI_38,EVI_39,EVI_40,EVI_41,EVI_42,EVI_43,EVI_44,EVI_45,EVI_46
39,16,0.149344,0.149344,0.149344,0.157592,0.165840,0.200937,0.172724,0.186805,0.200885,0.240993,0.281101,0.368489,0.352911,0.402384,0.568794,0.531985,0.390431,0.380139,0.336092,0.201004,0.171799,0.185264,0.198730,0.183892,0.237273,0.344437,0.451602,0.443154,0.617108,0.693343,0.686064,0.678785,0.555174,0.431563,0.552585,0.418544,0.280243,0.230653,0.312949,0.216545,0.193968,0.171391,0.169643,0.147592,0.144846,0.142100
39,17,0.166155,0.166155,0.166155,0.160533,0.154910,0.163540,0.192447,0.200452,0.208458,0.264025,0.319592,0.397885,0.447022,0.462340,0.568794,0.648930,0.523239,0.486762,0.336092,0.260943,0.185794,0.187798,0.189802,0.182927,0.237273,0.351740,0.466207,0.400283,0.617108,0.789598,0.734191,0.678785,0.560550,0.442314,0.635137,0.449662,0.353171,0.256679,0.302314,0.225098,0.198245,0.171391,0.141550,0.121009,0.125855,0.114615
39,18,0.146661,0.146661,0.146661,0.148491,0.150321,0.155018,0.172831,0.190645,0.208458,0.258721,0.308983,0.397885,0.463204,0.462340,0.640357,0.648930,0.535714,0.508849,0.353522,0.272701,0.191881,0.190842,0.189802,0.182927,0.220237,0.343222,0.466207,0.400283,0.660434,0.714047,0.731822,0.749598,0.585515,0.421433,0.684734,0.442784,0.410211,0.291785,0.323062,0.232755,0.194730,0.156705,0.135060,0.121009,0.112015,0.103731
39,19,0.152555,0.152555,0.152555,0.148314,0.144072,0.153918,0.173802,0.193685,0.213569,0.267984,0.322399,0.443179,0.596237,0.467381,0.640357,0.648930,0.532265,0.460379,0.362852,0.277367,0.191881,0.196635,0.201390,0.183706,0.220237,0.353271,0.486306,0.364201,0.660434,0.714047,0.731822,0.749598,0.585515,0.421433,0.551776,0.446184,0.410211,0.295851,0.323062,0.232755,0.196070,0.159385,0.135060,0.115930,0.112015,0.103921
39,20,0.151460,0.151460,0.151460,0.138324,0.125189,0.153918,0.176793,0.203014,0.229234,0.280077,0.330920,0.390430,0.554987,0.410809,0.527546,0.622115,0.560023,0.428971,0.345702,0.213826,0.182741,0.184563,0.186386,0.214294,0.240182,0.346554,0.452926,0.328363,0.624821,0.630827,0.690212,0.749598,0.575227,0.400856,0.429999,0.446184,0.351151,0.318668,0.286185,0.232136,0.196264,0.160392,0.123075,0.115958,0.110045,0.104133
39,21,0.220687,0.196812,0.172938,0.149063,0.125189,0.147683,0.223845,0.181369,0.138894,0.158277,0.177660,0.394817,0.554987,0.489071,0.526061,0.622115,0.560023,0.340888,0.345702,0.180048,0.142129,0.164257,0.186386,0.204846,0.236443,0.299427,0.362412,0.289096,0.543205,0.630827,0.479358,0.449929,0.360993,0.272057,0.429999,0.372572,0.351151,0.210230,0.192046,0.173862,0.189604,0.205345,0.180673,0.244896,0.177569,0.110242
39,22,0.131726,0.131726,0.131726,0.131726,0.131726,0.139758,0.199068,0.258378,0.282369,0.230014,0.177660,0.411248,0.526800,0.508977,0.526061,0.557925,0.405390,0.451904,0.362157,0.213953,0.200400,0.226031,0.251661,0.204846,0.236443,0.324793,0.413142,0.296872,0.543205,0.630827,0.636937,0.516076,0.389183,0.262291,0.417457,0.252050,0.297558,0.263215,0.228873,0.224313,0.234292,0.244271,0.220269,0.279385,0.255211,0.223293
39,23,0.190221,0.190221,0.190221,0.190221,0.190221,0.217522,0.245453,0.273384,0.301315,0.345751,0.390187,0.438495,0.526800,0.508977,0.558210,0.557925,0.624589,0.451904,0.537296,0.231359,0.221158,0.238903,0.256648,0.214702,0.252889,0.369736,0.486583,0.530031,0.573479,0.633968,0.581520,0.529071,0.406204,0.283338,0.417457,0.393128,0.246549,0.200331,0.220866,0.267890,0.256057,0.244225,0.244736,0.279385,0.255211,0.229414
39,24,0.190221,0.190221,0.190221,0.190221,0.190221,0.217522,0.245453,0.273384,0.301315,0.345751,0.390187,0.438495,0.526800,0.508977,0.558210,0.557925,0.624589,0.451904,0.537296,0.231359,0.221158,0.238903,0.256648,0.214702,0.252889,0.369736,0.486583,0.530031,0.573479,0.633968,0.581520,0.529071,0.406204,0.283338,0.417457,0.393128,0.246549,0.200331,0.220866,0.267890,0.256057,0.244225,0.244736,0.279385,0.255211,0.229414
39,25,0.260810,0.260810,0.260810,0.260810,0.260810,0.282020,0.272282,0.262544,0.252805,0.321496,0.390187,0.438495,0.418807,0.464272,0.558210,0.546405,0.508131,0.455284,0.537296,0.370912,0.204528,0.220741,0.236954,0.214702,0.252889,0.373289,0.493688,0.273161,0.573479,0.633968,0.581520,0.529071,0.406204,0.283338,0.467545,0.259729,0.246549,0.210461,0.220866,0.244009,0.239433,0.234856,0.233095,0.258670,0.204363,0.229414
